ATCOCode,CrsRef
9100ABDARE,ABA
9100BRENTX,BCZ
9100ABDO,AUR
9100ABDVY,AVY
9100ABER,ABE
9100ABGLELE,AGL
9100ABRCYNS,ACY
9100ABRDEEN,ABD
9100ABRE,ABH
9100ABRGVNY,AGV
9100ABRYSTH,AYW
9100ABWD,ABW
9100ACBG,ACB
9100ACHANLT,AAT
9100ACHHSHL,ACH
9100ACHILCK,AUK
9100ACHNSHN,ACN
9100ACKLNGT,ACK
9100ACLE,ACL
9100ACOCKSG,ACG
9100ACRNGTN,ACR
9100ACTNCTL,ACC
9100ACTONML,AML
9100ADERLYP,ADD
9100ADIEWEL,ADW
9100ADISHAM,ADM
9100ADLC,ADC
9100ADLESTN,ASN
9100ADNL,ADL
9100ADWICK,AWK
9100AGHTNPH,AUG
9100AIGBURT,AIG
9100AINSDAL,ANS
9100AINTREE,AIN
9100AIRBLES,AIR
9100AIRDRIE,ADR
9100AIRP,APN
9100ALBNYPK,AYP
9100ALBRGHT,ALB
9100ALDEDGE,ALD
9100ALDMSTN,AMT
9100ALDRSHT,AHT
9100ALDTON,AGT
9100ALERTN,LPY
9100ALEXNDP,AAP
9100ALFRETN,ALF
9100ALLENSW,ALW
9100ALLOA,ALO
9100ALNESS,ASS
9100ALNMOTH,ALM
9100ALRESFD,ALR
9100ALSAGER,ASG
9100ALSHAM,AYH
9100ALTHORN,ALN
9100ALTNBRC,ABC
9100ALTON,AON
9100ALTPE,ALP
9100ALTRNHM,ALT
9100ALVCHRC,ALV
9100ALXANDR,ALX
9100ALXPD,AXP
9100AMBERGT,AMB
9100AMERSHM,AMR
9100AMLY,AMY
9100AMMANFD,AMF
9100ANCASTR,ANC
9100ANDOVER,ADV
9100ANDRSTN,AND
9100ANERLEY,ANZ
9100ANGELRD,AGR
9100ANGMRNG,ANG
9100ANNAN,ANN
9100ANSDELL,AFV
9100ANSL,ANL
9100APBY,APP
9100APDR,APD
9100APERLYB,APY
9100APLYBDG,APB
9100APPLEFD,APF
9100APSLEY,APS
9100ARBROTH,ARB
9100ARCHRAT,ART
9100ARDGAY,ARD
9100ARDLUI,AUI
9100ARDRSHB,ADS
9100ARDRSSB,ASB
9100ARDRSTN,ADN
9100ARDWICK,ADK
9100ARGYLST,AGS
9100ARISAIG,ARG
9100ARLSEY,ARL
9100ARMDALE,ARM
9100ARMTHWT,AWT
9100ARNSIDE,ARN
9100ARRAM,ARR
9100ARUNDEL,ARU
9100ASCOT,ACT
9100ASCTUWD,AUW
9100ASFDMSX,AFS
9100ASFIELD,ASF
